Pattern,X1,X2,X3,X4,X5,X6
351211,Mars,Null,Earth,Venus,Earth,Earth
351214,Mars,Null,Earth,Venus,Earth,Jupiter
351213,Mars,Null,Earth,Venus,Earth,Mars
351215,Mars,Null,Earth,Venus,Earth,Null
351212,Mars,Null,Earth,Venus,Earth,Venus
351241,Mars,Null,Earth,Venus,Jupiter,Earth
351244,Mars,Null,Earth,Venus,Jupiter,Jupiter
351243,Mars,Null,Earth,Venus,Jupiter,Mars
351245,Mars,Null,Earth,Venus,Jupiter,Null
351242,Mars,Null,Earth,Venus,Jupiter,Venus
351231,Mars,Null,Earth,Venus,Mars,Earth
351234,Mars,Null,Earth,Venus,Mars,Jupiter
351233,Mars,Null,Earth,Venus,Mars,Mars
351235,Mars,Null,Earth,Venus,Mars,Null
351232,Mars,Null,Earth,Venus,Mars,Venus
351251,Mars,Null,Earth,Venus,Null,Earth
351254,Mars,Null,Earth,Venus,Null,Jupiter
351253,Mars,Null,Earth,Venus,Null,Mars
351255,Mars,Null,Earth,Venus,Null,Null
351252,Mars,Null,Earth,Venus,Null,Venus
351221,Mars,Null,Earth,Venus,Venus,Earth
351224,Mars,Null,Earth,Venus,Venus,Jupiter
351223,Mars,Null,Earth,Venus,Venus,Mars
351225,Mars,Null,Earth,Venus,Venus,Null
351222,Mars,Null,Earth,Venus,Venus,Venus
354111,Mars,Null,Jupiter,Earth,Earth,Earth
354114,Mars,Null,Jupiter,Earth,Earth,Jupiter
354113,Mars,Null,Jupiter,Earth,Earth,Mars
354115,Mars,Null,Jupiter,Earth,Earth,Null
354112,Mars,Null,Jupiter,Earth,Earth,Venus
354141,Mars,Null,Jupiter,Earth,Jupiter,Earth
354144,Mars,Null,Jupiter,Earth,Jupiter,Jupiter
354143,Mars,Null,Jupiter,Earth,Jupiter,Mars
354145,Mars,Null,Jupiter,Earth,Jupiter,Null
354142,Mars,Null,Jupiter,Earth,Jupiter,Venus
354131,Mars,Null,Jupiter,Earth,Mars,Earth
354134,Mars,Null,Jupiter,Earth,Mars,Jupiter
354133,Mars,Null,Jupiter,Earth,Mars,Mars
354135,Mars,Null,Jupiter,Earth,Mars,Null
354132,Mars,Null,Jupiter,Earth,Mars,Venus
354151,Mars,Null,Jupiter,Earth,Null,Earth
354154,Mars,Null,Jupiter,Earth,Null,Jupiter
354153,Mars,Null,Jupiter,Earth,Null,Mars
354155,Mars,Null,Jupiter,Earth,Null,Null
354152,Mars,Null,Jupiter,Earth,Null,Venus
